-----------------------------------------------------
|Tracker name| Success | Norm Precision | Precision |
-----------------------------------------------------
|   TransT   |  0.695  |     0.000      |   0.899   |
| SiamRPN++  |  0.687  |     0.000      |   0.891   |
|   Ocean    |  0.684  |     0.000      |   0.920   |
| LightTrack |  0.654  |     0.000      |   0.856   |
|   SiamFC   |  0.583  |     0.000      |   0.783   |
-----------------------------------------------------


OTB2015
-------------------------------------------------------------------------------------------------------------------------------------
|    Tracker name     |     LightTrack      |      SiamRPN++      |       TransT        |       SiamFC        |        Ocean        |
-------------------------------------------------------------------------------------------------------------------------------------
|     Video name      | success | precision | success | precision | success | precision | success | precision | success | precision |
-------------------------------------------------------------------------------------------------------------------------------------
|     Basketball      |  0.270  |   0.368   |  0.432  |   0.549   |  0.141  |   0.247   |  0.323  |   0.423   |  0.589  |   0.841   |
|        Biker        |  0.366  |   0.480   |  0.743  |   0.941   |  0.703  |   0.945   |  0.634  |   0.939   |  0.660  |   0.918   |
|        Bird1        |  0.217  |   0.324   |  0.208  |   0.395   |  0.176  |   0.427   |  0.175  |   0.255   |  0.215  |   0.550   |
|        Bird2        |  0.642  |   0.866   |  0.636  |   0.773   |  0.710  |   0.863   |  0.677  |   0.765   |  0.684  |   0.853   |
|      BlurBody       |  0.803  |   0.846   |  0.823  |   0.877   |  0.815  |   0.868   |  0.717  |   0.811   |  0.810  |   0.870   |
|      BlurCar1       |  0.834  |   0.900   |  0.805  |   0.908   |  0.831  |   0.925   |  0.828  |   0.895   |  0.817  |   0.875   |
|      BlurCar2       |  0.829  |   0.921   |  0.869  |   0.931   |  0.849  |   0.919   |  0.815  |   0.870   |  0.843  |   0.901   |
|      BlurCar3       |  0.820  |   0.910   |  0.871  |   0.942   |  0.866  |   0.956   |  0.799  |   0.879   |  0.834  |   0.911   |
|      BlurCar4       |  0.828  |   0.895   |  0.884  |   0.920   |  0.888  |   0.923   |  0.844  |   0.874   |  0.828  |   0.828   |
|      BlurFace       |  0.826  |   0.859   |  0.791  |   0.889   |  0.840  |   0.882   |  0.826  |   0.854   |  0.744  |   0.893   |
|       BlurOwl       |  0.842  |   0.920   |  0.802  |   0.893   |  0.820  |   0.915   |  0.836  |   0.927   |  0.769  |   0.858   |
|        Board        |  0.727  |   0.644   |  0.530  |   0.477   |  0.813  |   0.785   |  0.137  |   0.101   |  0.764  |   0.771   |
|        Bolt         |  0.221  |   0.366   |  0.649  |   0.887   |  0.527  |   0.853   |  0.036  |   0.047   |  0.576  |   0.851   |
|        Bolt2        |  0.378  |   0.589   |  0.637  |   0.849   |  0.608  |   0.834   |  0.652  |   0.808   |  0.627  |   0.852   |
|         Box         |  0.759  |   0.806   |  0.817  |   0.903   |  0.858  |   0.905   |  0.581  |   0.674   |  0.750  |   0.861   |
|         Boy         |  0.832  |   0.953   |  0.805  |   0.946   |  0.846  |   0.961   |  0.810  |   0.957   |  0.780  |   0.931   |
|        Car1         |  0.789  |   0.965   |  0.820  |   0.966   |  0.819  |   0.966   |  0.776  |   0.961   |  0.721  |   0.951   |
|        Car2         |  0.831  |   0.950   |  0.862  |   0.949   |  0.850  |   0.941   |  0.832  |   0.951   |  0.829  |   0.943   |
|        Car24        |  0.841  |   0.959   |  0.854  |   0.959   |  0.866  |   0.958   |  0.838  |   0.944   |  0.872  |   0.963   |
|        Car4         |  0.844  |   0.946   |  0.869  |   0.953   |  0.855  |   0.939   |  0.707  |   0.833   |  0.818  |   0.922   |
|       CarDark       |  0.631  |   0.896   |  0.812  |   0.964   |  0.711  |   0.946   |  0.495  |   0.633   |  0.689  |   0.925   |
|      CarScale       |  0.836  |   0.933   |  0.845  |   0.942   |  0.886  |   0.953   |  0.631  |   0.688   |  0.777  |   0.905   |
|       ClifBar       |  0.240  |   0.387   |  0.524  |   0.718   |  0.605  |   0.761   |  0.213  |   0.275   |  0.325  |   0.542   |
|        Coke         |  0.684  |   0.847   |  0.689  |   0.859   |  0.694  |   0.877   |  0.462  |   0.607   |  0.694  |   0.899   |
|       Couple        |  0.680  |   0.932   |  0.721  |   0.916   |  0.758  |   0.938   |  0.705  |   0.905   |  0.733  |   0.905   |
|       Coupon        |  0.614  |   0.626   |  0.344  |   0.371   |  0.414  |   0.434   |  0.325  |   0.347   |  0.319  |   0.348   |
|      Crossing       |  0.769  |   0.948   |  0.764  |   0.963   |  0.800  |   0.962   |  0.787  |   0.960   |  0.750  |   0.943   |
