type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-05-08 10:07:19,37.74687285,112.71518407,2.00,803.950,-17.950,1.010,116,31,39,20230508-180719,GPS Logger: 20230508-180719
T,2023-05-08 10:07:20,37.74686799,112.71519170,2.00,803.950,-17.950,0.950,102,26,38,,
T,2023-05-08 10:07:21,37.74686971,112.71520084,2.00,803.950,-17.950,0.960,83,29,39,,
T,2023-05-08 10:07:22,37.74687088,112.71521157,2.00,803.950,-17.950,0.540,82,31,39,,
T,2023-05-08 10:07:23,37.74687214,112.71522171,2.00,802.950,-17.950,0.750,95,31,39,,
T,2023-05-08 10:07:24,37.74687356,112.71522774,2.00,802.950,-17.950,0.130,94,26,40,,
T,2023-05-08 10:07:25,37.74686933,112.71522967,2.00,803.950,-17.950,0.310,94,31,39,,
T,2023-05-08 10:07:26,37.74686870,112.71522976,2.00,802.950,-17.950,0.330,94,30,41,,
T,2023-05-08 10:07:27,37.74686962,112.71522565,2.00,802.950,-17.950,0.280,94,30,41,,
T,2023-05-08 10:07:28,37.74687071,112.71522573,2.00,802.950,-17.950,0.510,94,30,41,,
T,2023-05-08 10:07:29,37.74687537,112.71522615,2.00,802.950,-17.950,0.380,94,30,41,,
T,2023-05-08 10:07:30,37.74687595,112.71522691,2.00,802.950,-17.950,0.060,94,30,41,,
T,2023-05-08 10:07:31,37.74687742,112.71522062,2.50,802.950,-17.950,0.000,,30,41,,
T,2023-05-08 10:07:32,37.74687742,112.71522062,2.00,802.950,-17.950,0.000,,30,41,,
T,2023-05-08 10:07:33,37.74687742,112.71522062,2.00,802.950,-17.950,0.000,,28,39,,
T,2023-05-08 10:07:34,37.74687742,112.71522062,2.00,802.950,-17.950,0.000,,27,40,,
T,2023-05-08 10:07:35,37.74687633,112.71522037,2.00,802.950,-17.950,0.430,94,30,40,,
T,2023-05-08 10:07:36,37.74687327,112.71522523,2.00,802.950,-17.950,0.240,94,29,40,,
T,2023-05-08 10:07:37,37.74687025,112.71523261,2.00,802.950,-17.950,0.440,94,27,40,,
T,2023-05-08 10:07:38,37.74686640,112.71523730,2.00,802.950,-17.950,0.170,94,29,40,,
T,2023-05-08 10:07:39,37.74687008,112.71523302,2.50,802.950,-17.950,0.520,94,29,40,,
T,2023-05-08 10:07:40,37.74687595,112.71523210,2.50,802.950,-17.950,0.140,94,28,40,,
T,2023-05-08 10:07:41,37.74687805,112.71522649,2.00,802.950,-17.950,0.330,94,29,40,,
T,2023-05-08 10:07:42,37.74687922,112.71522213,2.00,802.950,-17.950,0.780,94,29,40,,
T,2023-05-08 10:07:43,37.74687914,112.71521475,2.00,802.950,-17.950,0.700,94,29,40,,
T,2023-05-08 10:07:44,37.74687742,112.71521048,2.00,802.950,-17.950,0.270,94,30,40,,
T,2023-05-08 10:07:45,37.74687901,112.71521601,2.00,802.950,-17.950,0.480,94,30,40,,
T,2023-05-08 10:07:46,37.74687658,112.71521517,2.00,802.950,-17.950,0.260,94,30,38,,
T,2023-05-08 10:07:47,37.74687746,112.71521341,2.00,802.950,-17.950,0.230,94,29,39,,
T,2023-05-08 10:07:48,37.74687692,112.71521970,2.00,802.950,-17.950,0.000,,30,40,,
T,2023-05-08 10:07:49,37.74687692,112.71521970,2.00,802.950,-17.950,0.000,,30,40,,
T,2023-05-08 10:07:50,37.74687692,112.71521970,2.00,802.950,-17.950,0.000,,30,40,,
T,2023-05-08 10:07:51,37.74687692,112.71521970,2.00,802.950,-17.950,0.000,,30,40,,
T,2023-05-08 10:07:52,37.74687692,112.71521970,2.00,802.950,-17.950,0.000,,29,40,,
T,2023-05-08 10:07:53,37.74687692,112.71521970,2.00,802.950,-17.950,0.000,,29,41,,
T,2023-05-08 10:07:54,37.74687692,112.71521970,2.00,802.950,-17.950,0.000,,30,41,,
