type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-05-08 09:51:05,37.74686000,112.71506000,1.30,810.451,-17.951,0.000,,49,68,20230508-175105,GPS Logger: 20230508-175105
T,2023-05-08 09:51:06,37.74686000,112.71506000,1.30,810.451,-17.951,0.000,,49,68,,
T,2023-05-08 09:51:07,37.74686000,112.71506000,1.30,810.451,-17.951,0.000,,49,68,,
T,2023-05-08 09:51:08,37.74686000,112.71506000,1.20,810.451,-17.951,0.000,,49,68,,
T,2023-05-08 09:51:09,37.74686000,112.71506000,1.20,810.451,-17.951,0.000,,49,68,,
T,2023-05-08 09:51:10,37.74686000,112.71506000,1.30,810.451,-17.951,0.000,,49,68,,
T,2023-05-08 09:51:11,37.74686000,112.71506000,1.30,810.451,-17.951,0.000,,48,68,,
T,2023-05-08 09:51:12,37.74686000,112.71506000,1.20,810.451,-17.951,0.000,,50,68,,
T,2023-05-08 09:51:13,37.74686000,112.71506000,1.20,810.451,-17.951,0.000,,50,68,,
T,2023-05-08 09:51:14,37.74686000,112.71506000,1.20,810.451,-17.951,0.000,,50,68,,
T,2023-05-08 09:51:15,37.74686000,112.71506000,1.20,810.451,-17.951,0.000,,50,68,,
T,2023-05-08 09:51:16,37.74686000,112.71506000,1.20,810.451,-17.951,0.000,,50,68,,
T,2023-05-08 09:51:17,37.74686000,112.71506000,1.20,810.451,-17.951,0.000,,50,68,,
T,2023-05-08 09:51:18,37.74686000,112.71506000,1.20,810.451,-17.951,0.000,,50,68,,
T,2023-05-08 09:51:19,37.74686000,112.71506000,1.20,810.451,-17.951,0.000,,50,68,,
T,2023-05-08 09:51:20,37.74686000,112.71506000,1.20,810.451,-17.951,0.000,,50,68,,
T,2023-05-08 09:51:21,37.74686000,112.71506000,1.20,810.451,-17.951,0.000,,50,68,,
T,2023-05-08 09:51:22,37.74686000,112.71506000,1.20,810.451,-17.951,0.000,,50,68,,
T,2023-05-08 09:51:23,37.74686000,112.71506000,1.20,810.451,-17.951,0.000,,49,68,,
T,2023-05-08 09:51:24,37.74686000,112.71506000,1.20,810.451,-17.951,0.000,,49,68,,
T,2023-05-08 09:51:25,37.74686000,112.71506000,1.20,810.451,-17.951,0.000,,49,68,,
T,2023-05-08 09:51:26,37.74686000,112.71506000,1.20,810.451,-17.951,0.000,,49,68,,
T,2023-05-08 09:51:27,37.74686000,112.71506000,1.20,810.451,-17.951,0.000,,50,68,,
T,2023-05-08 09:51:28,37.74686000,112.71506000,1.20,810.451,-17.951,0.000,,50,68,,
T,2023-05-08 09:51:29,37.74686000,112.71506000,1.20,810.451,-17.951,0.000,,50,68,,
T,2023-05-08 09:51:30,37.74686000,112.71506000,1.20,810.451,-17.951,0.000,,50,68,,
T,2023-05-08 09:51:31,37.74686000,112.71506000,1.20,810.451,-17.951,0.000,,48,68,,
T,2023-05-08 09:51:32,37.74686000,112.71506000,1.10,810.451,-17.951,0.000,,47,68,,
T,2023-05-08 09:51:33,37.74686000,112.71506000,1.10,810.451,-17.951,0.000,,46,68,,
T,2023-05-08 09:51:34,37.74686000,112.71506000,1.20,810.451,-17.951,0.000,,47,68,,
T,2023-05-08 09:51:35,37.74686000,112.71506000,1.10,810.451,-17.951,0.000,,47,68,,
T,2023-05-08 09:51:36,37.74686000,112.71506000,1.20,810.451,-17.951,0.000,,48,68,,
T,2023-05-08 09:51:37,37.74686000,112.71506000,1.10,810.451,-17.951,0.000,,48,68,,
T,2023-05-08 09:51:38,37.74686000,112.71506000,1.20,810.451,-17.951,0.000,,49,68,,
T,2023-05-08 09:51:39,37.74686000,112.71506000,1.20,810.451,-17.951,0.000,,49,68,,
T,2023-05-08 09:51:40,37.74686000,112.71506000,1.30,810.451,-17.951,0.000,,49,67,,
T,2023-05-08 09:51:41,37.74686000,112.71506000,1.30,810.451,-17.951,0.000,,48,67,,
T,2023-05-08 09:51:42,37.74686000,112.71506000,1.30,810.451,-17.951,0.000,,45,67,,
T,2023-05-08 09:51:43,37.74686000,112.71506000,1.30,810.451,-17.951,0.000,,45,68,,
T,2023-05-08 09:51:44,37.74686000,112.71506000,1.30,810.451,-17.951,0.000,,46,68,,
T,2023-05-08 09:51:45,37.74686000,112.71506000,1.30,810.451,-17.951,0.000,,47,68,,
T,2023-05-08 09:51:46,37.74686000,112.71506000,1.30,810.451,-17.951,0.000,,48,68,,
T,2023-05-08 09:51:47,37.74686000,112.71506000,1.30,810.451,-17.951,0.000,,48,68,,
T,2023-05-08 09:51:48,37.74686000,112.71506000,1.30,810.451,-17.951,0.000,,48,68,,
T,2023-05-08 09:51:49,37.74686000,112.71506000,1.30,810.451,-17.951,0.000,,46,68,,
T,2023-05-08 09:51:50,37.74686000,112.71506000,1.30,810.451,-17.951,0.000,,46,68,,
T,2023-05-08 09:51:51,37.74686000,112.71506000,1.30,810.451,-17.951,0.000,,46,68,,
T,2023-05-08 09:51:52,37.74686000,112.71506000,1.30,810.451,-17.951,0.000,,48,68,,
T,2023-05-08 09:51:53,37.74686000,112.71506000,1.30,810.451,-17.951,0.000,,47,68,,
T,2023-05-08 09:51:54,37.74686000,112.71506000,1.30,810.451,-17.951,0.000,,48,68,,
T,2023-05-08 09:51:55,37.74686000,112.71506000,1.30,810.451,-17.951,0.000,,48,68,,
T,2023-05-08 09:51:56,37.74686000,112.71506000,1.30,810.451,-17.951,0.000,,48,68,,
T,2023-05-08 09:51:57,37.74686000,112.71506000,1.30,810.451,-17.951,0.000,,48,68,,
T,2023-05-08 09:51:58,37.74686000,112.71506000,1.30,810.451,-17.951,0.000,,48,68,,
T,2023-05-08 09:51:59,37.74686000,112.71506000,1.30,810.451,-17.951,0.000,,49,68,,
T,2023-05-08 09:52:00,37.74686000,112.71506000,1.30,810.451,-17.951,0.000,,49,68,,
T,2023-05-08 09:52:01,37.74686000,112.71506000,1.30,810.451,-17.951,0.000,,47,68,,
T,2023-05-08 09:52:02,37.74686000,112.71506000,1.30,810.451,-17.951,0.000,,49,68,,
T,2023-05-08 09:52:03,37.74686000,112.71506000,1.30,810.451,-17.951,0.000,,48,68,,
T,2023-05-08 09:52:04,37.74686000,112.71506000,1.30,810.451,-17.951,0.000,,47,68,,
T,2023-05-08 09:52:05,37.74686000,112.71506000,1.30,810.451,-17.951,0.000,,48,68,,
T,2023-05-08 09:52:06,37.74686000,112.71506000,1.30,810.451,-17.951,0.000,,47,68,,
T,2023-05-08 09:52:07,37.74686000,112.71506000,1.30,810.451,-17.951,0.000,,47,68,,
T,2023-05-08 09:52:08,37.74686000,112.71506000,1.30,810.451,-17.951,0.000,,49,68,,
T,2023-05-08 09:52:09,37.74686000,112.71506000,1.30,810.451,-17.951,0.000,,48,68,,
T,2023-05-08 09:52:10,37.74686000,112.71506000,1.30,810.451,-17.951,0.000,,48,68,,
T,2023-05-08 09:52:11,37.74686000,112.71506000,1.30,810.451,-17.951,0.000,,46,68,,
T,2023-05-08 09:52:12,37.74686000,112.71506000,1.30,810.451,-17.951,0.000,,47,68,,
T,2023-05-08 09:52:13,37.74686000,112.71506000,1.30,810.451,-17.951,0.000,,47,68,,
T,2023-05-08 09:52:14,37.74686000,112.71506000,1.30,810.451,-17.951,0.000,,48,68,,
T,2023-05-08 09:52:15,37.74686000,112.71506000,1.30,810.451,-17.951,0.000,,49,68,,
T,2023-05-08 09:52:16,37.74686000,112.71506000,1.20,810.451,-17.951,0.000,,49,68,,
T,2023-05-08 09:52:17,37.74686000,112.71506000,1.30,810.451,-17.951,0.000,,48,68,,
T,2023-05-08 09:52:18,37.74686000,112.71506000,1.30,810.451,-17.951,0.000,,48,68,,
T,2023-05-08 09:52:19,37.74686000,112.71506000,1.30,810.451,-17.951,0.000,,49,67,,
T,2023-05-08 09:52:20,37.74686000,112.71506000,1.30,810.451,-17.951,0.000,,50,68,,
T,2023-05-08 09:52:21,37.74686000,112.71506000,1.30,810.451,-17.951,0.000,,50,68,,
T,2023-05-08 09:52:22,37.74686000,112.71506000,1.30,810.451,-17.951,0.000,,49,68,,
T,2023-05-08 09:52:23,37.74686000,112.71506000,1.30,810.451,-17.951,0.000,,49,68,,
T,2023-05-08 09:52:24,37.74686000,112.71506000,1.30,810.451,-17.951,0.000,,50,68,,
T,2023-05-08 09:52:25,37.74686000,112.71506000,1.20,810.451,-17.951,0.000,,50,68,,
T,2023-05-08 09:52:26,37.74686000,112.71506000,1.20,810.451,-17.951,0.000,,50,68,,
T,2023-05-08 09:52:27,37.74686000,112.71506000,1.20,810.451,-17.951,0.000,,50,68,,
T,2023-05-08 09:52:28,37.74686000,112.71506000,1.30,810.451,-17.951,0.000,,50,68,,
T,2023-05-08 09:52:29,37.74686000,112.71506000,1.30,810.451,-17.951,0.000,,50,68,,
T,2023-05-08 09:52:30,37.74686000,112.71506000,1.30,810.451,-17.951,0.000,,46,68,,
T,2023-05-08 09:52:31,37.74686000,112.71506000,1.30,810.451,-17.951,0.000,,43,68,,
T,2023-05-08 09:52:32,37.74686000,112.71506000,1.30,810.451,-17.951,0.000,,43,68,,
T,2023-05-08 09:52:33,37.74686000,112.71506000,1.30,810.451,-17.951,0.000,,43,68,,
T,2023-05-08 09:52:34,37.74686000,112.71506000,1.30,810.451,-17.951,0.000,,44,68,,
T,2023-05-08 09:52:35,37.74686000,112.71506000,1.30,810.451,-17.951,0.000,,44,68,,
T,2023-05-08 09:52:36,37.74686000,112.71506000,1.40,810.451,-17.951,0.000,,44,68,,
T,2023-05-08 09:52:37,37.74686000,112.71506000,1.40,810.451,-17.951,0.000,,43,68,,
T,2023-05-08 09:52:38,37.74686000,112.71506000,1.40,810.451,-17.951,0.000,,43,68,,
T,2023-05-08 09:52:39,37.74686000,112.71506000,1.40,810.451,-17.951,0.000,,43,67,,
T,2023-05-08 09:52:40,37.74686000,112.71506000,1.40,810.451,-17.951,0.000,,41,68,,
T,2023-05-08 09:52:41,37.74686000,112.71506000,1.40,810.451,-17.951,0.000,,43,68,,
T,2023-05-08 09:52:42,37.74686000,112.71506000,1.40,810.451,-17.951,0.000,,42,69,,
T,2023-05-08 09:52:43,37.74686000,112.71506000,1.40,810.451,-17.951,0.000,,43,69,,
T,2023-05-08 09:52:44,37.74686000,112.71506000,1.40,810.451,-17.951,0.000,,42,69,,
T,2023-05-08 09:52:45,37.74686000,112.71506000,1.40,810.451,-17.951,0.000,,43,69,,
T,2023-05-08 09:52:46,37.74686000,112.71506000,1.40,810.451,-17.951,0.000,,41,69,,
T,2023-05-08 09:52:47,37.74686000,112.71506000,1.30,810.451,-17.951,0.000,,45,69,,
T,2023-05-08 09:52:48,37.74686000,112.71506000,1.30,810.451,-17.951,0.000,,46,69,,
T,2023-05-08 09:52:49,37.74686000,112.71506000,1.20,810.451,-17.951,0.000,,48,69,,
T,2023-05-08 09:52:50,37.74686000,112.71506000,1.30,810.451,-17.951,0.000,,48,69,,
T,2023-05-08 09:52:51,37.74686000,112.71506000,1.30,810.451,-17.951,0.000,,49,69,,
T,2023-05-08 09:52:52,37.74686000,112.71506000,1.30,810.451,-17.951,0.000,,49,69,,
T,2023-05-08 09:52:53,37.74686000,112.71506000,1.30,810.451,-17.951,0.000,,48,69,,
T,2023-05-08 09:52:54,37.74682000,112.71508000,1.30,810.451,-17.951,0.241,172,47,69,,
T,2023-05-08 09:52:55,37.74681000,112.71508000,1.40,810.451,-17.951,0.276,172,47,70,,
T,2023-05-08 09:52:56,37.74680000,112.71508000,1.40,810.351,-17.951,0.345,186,47,70,,
T,2023-05-08 09:52:57,37.74679000,112.71508000,1.40,810.351,-17.951,0.436,189,48,70,,
T,2023-05-08 09:52:58,37.74678000,112.71508000,1.50,810.451,-17.951,0.520,173,48,70,,
T,2023-05-08 09:52:59,37.74678000,112.71507000,1.50,810.351,-17.951,0.568,202,48,70,,
T,2023-05-08 09:53:00,37.74677000,112.71507000,1.40,810.251,-17.951,0.626,196,49,70,,
T,2023-05-08 09:53:01,37.74676000,112.71507000,1.50,810.451,-17.951,0.682,183,48,70,,
T,2023-05-08 09:53:02,37.74676000,112.71507000,1.40,810.751,-17.951,0.727,188,48,70,,
T,2023-05-08 09:53:03,37.74675000,112.71507000,1.40,810.751,-17.951,0.783,188,49,70,,
T,2023-05-08 09:53:04,37.74674000,112.71507000,1.40,810.851,-17.951,0.843,188,49,70,,
T,2023-05-08 09:53:05,37.74673000,112.71507000,1.50,810.651,-17.951,0.874,176,49,70,,
T,2023-05-08 09:53:06,37.74672000,112.71507000,1.50,810.651,-17.951,0.915,191,50,70,,
T,2023-05-08 09:53:07,37.74671000,112.71507000,1.50,810.351,-17.951,0.927,181,50,70,,
T,2023-05-08 09:53:08,37.74670000,112.71507000,1.50,810.151,-17.951,0.956,179,50,70,,
T,2023-05-08 09:53:09,37.74668000,112.71507000,1.50,809.951,-17.951,0.997,175,50,70,,
T,2023-05-08 09:53:10,37.74667000,112.71507000,1.50,809.451,-17.951,1.026,185,50,70,,
T,2023-05-08 09:53:11,37.74666000,112.71507000,1.50,808.851,-17.951,1.058,185,49,70,,
T,2023-05-08 09:53:12,37.74665000,112.71507000,1.50,808.551,-17.951,1.083,203,49,70,,
T,2023-05-08 09:53:13,37.74664000,112.71507000,1.50,808.451,-17.951,1.083,190,49,70,,
T,2023-05-08 09:53:14,37.74663000,112.71507000,1.40,808.251,-17.951,1.151,173,48,70,,
T,2023-05-08 09:53:15,37.74662000,112.71507000,1.50,808.251,-17.951,1.284,170,49,70,,
T,2023-05-08 09:53:16,37.74661000,112.71507000,1.50,808.351,-17.951,1.310,177,48,70,,
T,2023-05-08 09:53:17,37.74660000,112.71508000,1.50,808.551,-17.951,1.222,171,50,70,,
T,2023-05-08 09:53:18,37.74660000,112.71507000,1.40,808.951,-17.951,1.160,233,49,70,,
T,2023-05-08 09:53:19,37.74659000,112.71507000,1.40,809.251,-17.951,1.099,260,49,70,,
T,2023-05-08 09:53:20,37.74659000,112.71507000,1.40,809.651,-17.951,1.059,176,50,70,,
T,2023-05-08 09:53:21,37.74658000,112.71507000,1.40,810.051,-17.951,1.047,169,49,70,,
T,2023-05-08 09:53:22,37.74657000,112.71506000,1.40,810.451,-17.951,1.006,204,49,70,,
T,2023-05-08 09:53:23,37.74657000,112.71506000,1.40,810.751,-17.951,0.927,149,50,70,,
T,2023-05-08 09:53:24,37.74657000,112.71506000,1.30,810.851,-17.951,0.796,265,50,70,,
T,2023-05-08 09:53:25,37.74657000,112.71505000,1.30,810.951,-17.951,0.634,271,50,70,,
T,2023-05-08 09:53:26,37.74657000,112.71504000,1.40,810.951,-17.951,0.545,297,50,70,,
T,2023-05-08 09:53:27,37.74657000,112.71503000,1.40,810.851,-17.951,0.570,305,50,70,,
T,2023-05-08 09:53:28,37.74656000,112.71502000,1.30,810.651,-17.951,0.541,284,50,70,,
T,2023-05-08 09:53:29,37.74656000,112.71501000,1.30,810.651,-17.951,0.523,302,51,70,,
T,2023-05-08 09:53:30,37.74656000,112.71500000,1.30,810.451,-17.951,0.545,271,51,70,,
T,2023-05-08 09:53:31,37.74655000,112.71498000,1.40,810.451,-17.951,0.654,251,51,70,,
T,2023-05-08 09:53:32,37.74655000,112.71496000,1.50,810.151,-17.951,0.707,258,51,70,,
T,2023-05-08 09:53:33,37.74655000,112.71495000,1.40,809.851,-17.951,0.781,292,51,70,,
T,2023-05-08 09:53:34,37.74655000,112.71494000,1.40,809.651,-17.951,0.801,288,51,70,,
T,2023-05-08 09:53:35,37.74655000,112.71493000,1.40,809.651,-17.951,0.844,295,51,70,,
T,2023-05-08 09:53:36,37.74655000,112.71491000,1.40,809.951,-17.951,0.886,268,50,70,,
T,2023-05-08 09:53:37,37.74655000,112.71490000,1.40,810.051,-17.951,0.986,261,51,70,,
T,2023-05-08 09:53:38,37.74654000,112.71488000,1.50,810.151,-17.951,1.152,262,50,70,,
T,2023-05-08 09:53:39,37.74654000,112.71486000,1.50,810.251,-17.951,1.302,245,50,70,,
T,2023-05-08 09:53:40,37.74654000,112.71485000,1.50,810.352,-17.952,1.328,272,50,70,,
T,2023-05-08 09:53:41,37.74654000,112.71484000,1.50,810.352,-17.952,1.183,299,50,70,,
T,2023-05-08 09:53:42,37.74654000,112.71484000,1.40,810.352,-17.952,1.098,295,50,70,,
T,2023-05-08 09:53:43,37.74654000,112.71483000,1.30,810.452,-17.952,1.026,336,50,70,,
T,2023-05-08 09:53:44,37.74654000,112.71482000,1.30,810.452,-17.952,1.021,285,50,70,,
T,2023-05-08 09:53:45,37.74654000,112.71481000,1.30,810.352,-17.952,1.039,261,50,70,,
T,2023-05-08 09:53:46,37.74654000,112.71480000,1.40,810.252,-17.952,0.995,274,50,70,,
